,1,2,3,4,5,6,7,8,9,10,12,14,16,18,20,25,30,35,40,45,50,55,60
1,,,1,NA,0.985611511,0.993589744,0.978723404,0.992592593,0.993865031,0.993939394,0.986111111,0.973856209,0.980392157,0.98136646,0.970414201,0.9625,0.925925926,0.91503268,NA,0.897560976,0.868217054,0.820895522,0.743055556
2,,,1,NA,NA,0.981818182,0.993333333,0.986842105,0.993243243,0.992366412,0.987951807,1,0.993630573,0.956790123,0.979452055,0.981132075,0.967213115,0.985611511,0.916030534,0.89375,0.904761905,0.877862595,0.741007194
3,,,1,NA,0.979452055,0.992647059,0.97826087,1,0.983870968,0.97972973,0.987012987,0.985507246,0.986111111,0.974683544,0.951612903,0.986666667,0.953488372,0.942857143,0.917808219,NA,NA,0.777777778,0.708333333
4,,,1,NA,0.992537313,0.993288591,0.985815603,0.986842105,1,0.993710692,0.986111111,0.949275362,0.98540146,0.987179487,0.955555556,0.970588235,0.933823529,0.932515337,0.892086331,0.894230769,0.770491803,0.808510638,0.808695652
5,,,0.994680851,NA,1,1,0.986486486,1,0.986754967,1,0.987804878,0.986577181,0.981595092,0.980392157,NA,0.983606557,0.974137931,0.984962406,NA,0.914728682,0.821138211,0.833333333,0.753521127
6,,,1,NA,1,0.964497041,0.987012987,0.960526316,0.964539007,0.965034965,0.979310345,0.986928105,0.993150685,NA,0.986394558,0.96350365,0.935251799,0.924418605,0.916083916,0.867132867,0.913669065,0.832116788,0.802631579
7,,,1,0.993197279,0.988023952,1,0.992248062,0.807692308,0.983333333,0.986206897,0.969512195,0.946308725,0.904411765,0.891156463,0.848484848,0.758241758,0.633802817,0.515873016,0.388888889,0.307189542,0.206349206,NA,NA
8,,,0.993243243,0.986394558,1,0.994923858,1,0.987804878,0.986394558,0.985815603,0.985714286,0.965277778,0.936305732,0.92,0.863636364,0.78,0.637795276,0.566666667,0.403225806,0.338983051,0.330708661,NA,NA
9,,,1,1,1,1,0.963963964,0.981308411,1,0.978947368,0.989010989,0.915492958,0.911564626,0.932885906,0.93006993,0.819354839,0.828025478,0.52027027,0.37007874,0.382352941,0.285714286,NA,NA
10,,,0.990825688,1,NA,1,0.991150442,1,0.990196078,0.992537313,1,0.971153846,0.916201117,0.848214286,0.87704918,0.743119266,0.727272727,0.639344262,0.449152542,0.546875,0.437037037,0.302325581,NA
11,,,0.958041958,0.99375,1,1,0.98540146,1,0.994117647,0.980392157,0.99382716,0.960264901,0.941176471,0.892405063,0.866666667,0.748344371,0.767605634,0.636363636,0.616883117,0.538461538,0.37414966,0.319327731,0.346938776
12,,,1,0.987179487,0.986486486,0.986486486,0.953333333,NA,0.993243243,0.976744186,0.97972973,0.979865772,0.943661972,0.907142857,0.837662338,0.773333333,0.744047619,0.613259669,0.488764045,0.493975904,0.44966443,0.369565217,0.310077519